tenant_page_url,tenant_logo_url,category,subcategory,tenant_name,tenant_photo_url,buildings,floors,products,where_to_park,pickup_point_stripped,takeaway,contact_phone_stripped,catalogue,whatsapp_chat,go_food,grab_food,shopee_food
https://www.malkelapagading.com/directory/janji-jiwa-x,http://images.malkelapagading.com/tenant/Janji-Jiwa-Xlogo-59.jpg,Dining,F & B Delivery,Janji Jiwa X,http://images.malkelapagading.com/tenant/Janji-Jiwa-Xfoto-20.jpg,['Gading Walk'],['Lantai Dasar 23 & 25'],"Coffee, Es Kopi Susu, Toast, Sandwich",Gedung Parkir 2/5 Basement,,allowed,,,,available,available,
https://www.malkelapagading.com/directory/java-kitchen,http://images.malkelapagading.com/tenant/Java-Kitchenlogo.jpg,Dining,F & B Delivery,Java Kitchen,http://images.malkelapagading.com/tenant/Java-Kitchenfoto.jpg,['MKG-3'],['Lantai 3 FCL-11A'],"Indonesian food: Rawon, Sop Buntut, Tahu Telor, Soto Lamongan, Gado-gado, Sate",Gedung Parkir 3,,,02145853803,,,available,,
https://www.malkelapagading.com/directory/jbl-and-desound,http://images.malkelapagading.com/tenant/JBL-de-soundlogo-82.jpg,Shopping,"Electronics, IT, Gadgets",JBL & de`sound,http://images.malkelapagading.com/tenant/JBL-de-soundfoto-30.jpg,['MKG-3'],['Lantai Dasar 36'],"Audio equipments : wireless, speakers, headphones, soundbars, car subwoofers, others",Gedung Parkir 2/3 Basement,,,089601666968,available,available,,,
https://www.malkelapagading.com/directory/jco-donuts,http://images.malkelapagading.com/tenant/JCO-Donutslogo.jpg,Dining,F & B Delivery,JCO Donuts & Coffee,http://images.malkelapagading.com/tenant/JCO-Donutsfoto.jpg,['MKG-2'],['Lantai Dasar 140 C-D'],"Donuts/Donat, Cronuts, Croisant, Coffee & Tea",Gedung Parkir 2 Basement P1/P1A,,allowed,02145846713,available,,,available,
https://www.malkelapagading.com/directory/jd-sport-summarecon-mall-kelapa-gading,http://images.malkelapagading.com/tenant/JD-sportslogo-15.jpg,Shopping,Sports & Lifestyle,JD sports,http://images.malkelapagading.com/tenant/JD-sportsfoto-77.jpg,['MKG-3'],['Lantai 1 12'],"Sneakers, Apperal",Gedung Parkir 2 Basement P1/P1A,,,02145854147,,available,,,
https://www.malkelapagading.com/directory/jm-top-optical,http://images.malkelapagading.com/tenant/JM-Top-Opticallogo.jpg,Shopping,Fashion & Accesories,JM Top Optical,http://images.malkelapagading.com/tenant/JM-Top-Opticalfoto.jpg,['MKG-1'],['Lantai Dasar 162-164'],"Jasa pembuatan Kacamata, Lensa, Contact Lens","Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",,,0214533457,,,,,
https://www.malkelapagading.com/directory/johnny-andrean-salon,http://images.malkelapagading.com/tenant/Jhonny-Andrean-Salonlogo.jpg,Shopping,Health & Beauty,Johnny Andrean Salon,http://images.malkelapagading.com/tenant/Johnny-Andrean-Salonfoto1.jpg,['MKG-3'],['Lantai 1 30'],"Tata Rias, Perawatan Tubuh, Perawatan Rambut dan Wajah",Gedung Parkir 2/3,,,0214529647,available,available,,,
https://www.malkelapagading.com/directory/joomba,http://images.malkelapagading.com/tenant/JOOMBAlogo-67.jpg,Dining,F & B Delivery,JOOMBA,http://images.malkelapagading.com/tenant/JOOMBAfoto-37.jpg,['Gading Walk'],['Lantai Dasar C-03'],Fresh smoothies,Gedung Parkir 2/5 Basement,,allowed,,,available,available,available,
https://www.malkelapagading.com/directory/jpp-skin-laser-and-clinic,http://images.malkelapagading.com/tenant/JPP-Skin-Laser-Cliniclogo.jpg,Shopping,Health & Beauty,JPP Skin Laser & Clinic,http://images.malkelapagading.com/tenant/JPP-Skin-Laser-Clinicfoto.jpg,['MKG-2'],['Lantai 1 230B'],Klinik kecantikan kulit,Gedung Parkir 2 Lt. 2 P2/P2A,,,02145878289,,,,,
https://www.malkelapagading.com/directory/just-yoga,http://images.malkelapagading.com/tenant/Just-Yogalogo.jpg,Shopping,Health & Beauty,Just Yoga,http://images.malkelapagading.com/tenant/Just-Yogafoto1.jpg,['Gading Walk'],['Lantai Dasar Arcade 50'],Premium yoga studio,Gedung Parkir 2 Basement P1,,,02145878422,,,,,
https://www.malkelapagading.com/directory/justice,http://images.malkelapagading.com/tenant/Justicelogo.jpg,Shopping,"Kids, Toys, Maternity",Justice,http://images.malkelapagading.com/tenant/Justicefoto1.jpg,['MKG-3'],['Lantai 2 42'],Girls apparel & accessories,Gedung Parkir 3,,,02145842507,,available,,,
https://www.malkelapagading.com/directory/jutanhak-beauty-center,http://images.malkelapagading.com/tenant/Jutanhak-Beauty-Centerlogo.jpg,Shopping,Health & Beauty,Jutanhak Beauty Center,http://images.malkelapagading.com/tenant/Jutanhak-Beauty-Centerfoto.jpg,['MKG-2'],['Lantai 2 302'],Klinik kecantikan,Gedung Parkir 2 Lt. 3 P3/P3A,,,0214533460,,,,,
https://www.malkelapagading.com/directory/kaizen,http://images.malkelapagading.com/tenant/Kaizenlogo2.jpg,Shopping,Health & Beauty,Kaizen,http://images.malkelapagading.com/tenant/Kaizenfoto.jpg,['MKG-2'],['Lantai Dasar 127C'],Salon,Gedung Parkir 2 Basement P1/P1A,,,02145849063,,,,,
https://www.malkelapagading.com/directory/kalcare,http://images.malkelapagading.com/tenant/KALCarelogo-61.jpg,Shopping,Health & Beauty,KALCare,http://images.malkelapagading.com/tenant/KALCarefoto-11.jpg,['MKG-1'],['Lantai 2 362-368A B'],Produk Kesehatan,,,,,,,,available,available
https://www.malkelapagading.com/directory/kemayu,http://images.malkelapagading.com/tenant/KEMAYUlogo-7.jpg,Shopping,Health & Beauty,KEMAYU,http://images.malkelapagading.com/tenant/KEMAYUfoto-93.jpg,['MKG-2'],['Lantai 1 K-201'],"Keindahan Wewangian Indonesia : difuser, room fragrance spray",Gedung Parkir 2 Lantai 1,,,087716916055,available,available,,,
https://www.malkelapagading.com/directory/kettler-sport,http://images.malkelapagading.com/tenant/Kettler-Sportlogo.jpg,Shopping,Sports & Lifestyle,Kettler Sport,http://images.malkelapagading.com/tenant/Kettler-Sportfoto.jpg,['MKG-1'],['Lantai Dasar 159'],Peralatan Olahraga,"Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",,,0214529675,,,,,
https://www.malkelapagading.com/directory/lontong-cap-gomeh-rusmini,http://images.malkelapagading.com/tenant/Lontong-cap-Gomeh-Rusminilogo1.jpg,Dining,F & B Delivery,Ketupat Rusmini,http://images.malkelapagading.com/tenant/Lontong-cap-Gomeh-Rusminifoto1.jpg,['MKG-3'],['Lantai 3 FCL-01'],Lontong Cap Gomeh,Gedung Parkir 3,,,081399999345,,,available,,
https://www.malkelapagading.com/directory/kfc,http://images.malkelapagading.com/tenant/KFClogo-34.jpg,Dining,F & B Delivery,KFC,http://images.malkelapagading.com/tenant/KFCfoto.jpg,['MKG-3'],['Lantai 3 FCI-11 & 12'],"Ayam Crispy, Rice Box, Burger, Spaghetti, Pudding",Gedung Parkir 3,Atrium MKG 3,,02145853993,,available,available,available,
https://www.malkelapagading.com/directory/kidz-station,http://images.malkelapagading.com/tenant/Kidz-Stationlogo-53.jpg,Shopping,"Kids, Toys, Maternity",Kidz Station,http://images.malkelapagading.com/tenant/Kidz-Stationfoto1.jpg,['MKG-3'],['Lantai 2 14'],Mainan anak-anak,Gedung Parkir 3 Basement,,,02145842507,available,available,,,
https://www.malkelapagading.com/directory/kiehls,http://images.malkelapagading.com/tenant/Kiehlslogo.jpg,Shopping,Health & Beauty,Kiehl`s,http://images.malkelapagading.com/tenant/Kiehlsfoto.jpg,['MKG-2'],['Lantai Dasar 132'],Produk kecantikan & perawatan kulit,Gedung Parkir 2 Basement P1/P1A,,,02145878286,,,,,
